Site,Plant,ID,fv.fm
3,7,7a,0.57
3,7,7b,0.68
3,7,7c,0.686666667
3,8,8a,0.733333333
3,8,8b,0.49
3,8,8c,0.596666667
5,11,11a,0.536666667
5,11,11b,0.576666667
5,11,11c,0.64
5,12,12a,0.586666667
5,12,12b,0.516666667
5,12,12c,0.563333333
6,14,14a,0.67
6,14,14b,0.73
6,14,14c,0.733333333
8,17,17a,0.486666667
8,17,17b,0.496666667
8,17,17c,0.686666667
9,19,19a,0.56
9,19,19b,0.73
9,19,19c,0.776666667
9,20,20a,0.58
9,20,20b,0.56
9,20,20c,0.693333333
10,21,21a,0.443333333
10,21,21b,0.5
10,21,21c,0.516666667
11,24,24a,0.396666667
11,24,24b,0.386666667
11,24,24c,0.47
